Reference_Number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,Case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,Case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
2490-SCS-52051,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Green Dial Leather Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Green Dial Leather Watch, 34.5 x 34.5 mm",,,USD,2850,https://www.raymond-weil.us/wp-content/uploads/2023/09/RW_freelancer_2490-scs-52051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with 60 Laboratory grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Green genuine calf leather, signature W stitching","Green genuine calf leather, signature W stitching",Stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
With its stainless-steel square case of 34.5 mm, the freelancer ladies automatic has a cushion-shaped housing and features an automatic Swiss-made movement of 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock. The dial’s gradient green draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Green Leather Strap, Green Dial, Laboratory Grown Diamonds"
2490-STS-52051,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Green Dial Bracelet Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Green Dial Bracelet Watch, 34.5 x 34.5 mm",,,USD,2895,https://www.raymond-weil.us/wp-content/uploads/2023/09/RW_freelancer_2490-sts-52051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with 60 Laboratory grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient green dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock. The dial’s gradient green draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Stainless Steel Bracelet, Gradient Green Dial, Laboratory Grown Diamonds"
2490-SCS-50051,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Blue Dial Leather Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Blue Dial Leather Watch, 34.5 x 34.5 mm",,,USD,2850,https://www.raymond-weil.us/wp-content/uploads/2023/09/RW_freelancer_2490-scs-50051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with 60 Laboratory grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Blue genuine calf leather, signature W stitching","Blue genuine calf leather, signature W stitching",Stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock.The dial’s gradient blue draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Blue Leather Strap, Gradient Blue Dial, Laboratory Grown Diamonds"
2490-STS-50051,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Freelancer,"Freelancer Ladies Automatic Blue Dial Bracelet Watch, 34.5 x 34.5 mm","Freelancer Ladies Automatic Blue Dial Bracelet Watch, 34.5 x 34.5 mm",,,USD,2895,https://www.raymond-weil.us/wp-content/uploads/2023/09/RW_freelancer_2490-sts-50051_rvb_700x860px_72dpi.png,Switzerland,Square,Stainless steel set with 60 Laboratory grown diamonds,,"Snapped, with sapphire crystal",34.5 x 34.5 mm, , ,9.3 mm,,,Sapphire crystal with dual-sided anti-reflective coating,"100 m, 330 ft, 10 atm",,"Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®","Gradient blue dial with signature W guilloché, hands and indexes enhanced with white Super-Luminova®",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Mechanical self-winding movement – RW4200,Mechanical self-winding movement – RW4200,38 hours,,,,"The next evolution of the freelancer automatic collection is a new interpretation of the form watch, that elegantly transcends convention. This model has been reimagined for the modern individual, fusing a cushion-shaped design with signature brand details that radiate contemporary sophistication.
Measuring a 34.5 x 34.5 mm diameter, the freelancer ladies automatic has a square, cushion-shaped housing and features an automatic Swiss-made movement, with a 38 hours power reserve, ideally suited to daily wear.
This model features luminescent hour and minute hands with matching indexes, a fine centre seconds hand and a date indication at 3 o’clock. The dial’s gradient blue draws the eye towards the center, where a captivating W-shaped motif, as a nod to the RAYMOND WEIL brand, creates subtle shades that mesmerize the wearer.
Perfect balance of tradition and modernity, the freelancer automatic collection showcases RAYMOND WEIL’s unwavering dedication to craftsmanship and artistic expression.","Stainless Steel Bracelet, Gradient Blue Dial, Laboratory Grown Diamonds"
5925-SP5-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies Two-tone Rose Gold Quartz Steel Watch, 22.6 x 28.1mm","Toccata Ladies Two-tone Rose Gold Quartz Steel Watch, 22.6 x 28.1mm",,,USD,1075,https://www.raymond-weil.us/wp-content/uploads/2024/02/RW_toccata_5925-sp5-00300_rvb_700x860px_72dpi-1.png,Switzerland,Rectangular,Stainless steel with rose gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.4 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White, with Roman numerals","White, with Roman numerals",Stainless steel with rose gold PVD plating,Stainless steel with rose gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata ladies’ watch features a sleek rectangular stainless steel case and bracelet with rose gold PVD accents. The white dial is set with applied Roman numeral indexes . To complement this modern classic, a pair of blue hands has been added.
First popular in the Art-Deco era of the 1920s, square-faced watches have become an iconic and timeless design in watchmaking. RAYMOND WEIL reintroduces this case shape under our ever-classic and popular ladies’ toccata collection.
Refined design and luxurious materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","Stainless Steel Two-Tone Bracelet, Stainless Steel With Rose Gold PVD Plated Case, White Dial, Roman Numeral Indexes"
5925-PC5-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies Two-tone Rose Gold Quartz Leather Watch, 22.6 x 28.1mm","Toccata Ladies Two-tone Rose Gold Quartz Leather Watch, 22.6 x 28.1mm",,,USD,1150,https://www.raymond-weil.us/wp-content/uploads/2024/02/RW_toccata_5925-pc5-00300_rvb_700x860px_72dpi-1.png,Switzerland,Rectangular,Stainless steel with rose gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.4 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White, with Roman numerals","White, with Roman numerals",Black genuine calf leather,Black genuine calf leather,stainless steel traditional buckle rose gold PVD plating,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata ladies’ watch features a sleek rectangular stainless steel case and bracelet with rose gold PVD accents. The white dial is set with Roman numeral indexes . To complement this modern classic, a pair of blue hands has been added.
First popular in the Art-Deco era of the 1920s, square-faced watches have become an iconic and timeless design in watchmaking. RAYMOND WEIL reintroduces this case shape under our ever-classic and popular ladies’ toccata collection. Refined design and luxurious materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company","Black Leather Strap, Stainless Steel With Rose Gold PVD Plated Case, White Dial, Roman Numeral Indexes"
5925-SP5-00995,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies Two-tone Rose Gold Quartz Watch, 22.6 x 28.1mm","Toccata Ladies Two-tone Rose Gold Quartz Watch, 22.6 x 28.1mm",,,USD,1150,https://www.raymond-weil.us/wp-content/uploads/2023/04/RW_toccata_5925-sp5-00995_rvb_700x860px_72dpi.png,Switzerland,Rectangular,Stainless steel with rose gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.4 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White mother-of-pearl, with Roman numerals and set with 8 diamonds","White mother-of-pearl, with Roman numerals and set with 8 diamonds",Stainless steel with rose gold PVD plating,Stainless steel with rose gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata ladies’ watch features a sleek rectangular stainless steel case and bracelet with rose gold PVD accents. The white lacquered mother-of-pearl dial is set with applied Roman numeral indexes and 8 sparkling diamonds. To complement this modern classic, a pair of blue hands has been added.
First popular in the Art-Deco era of the 1920s, square-faced watches have become an iconic and timeless design in watchmaking. RAYMOND WEIL reintroduces this case shape under our ever-classic and popular ladies’ toccata collection. Refined design and luxurious materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","8 Diamonds, Stainless Steel Two-Tone Bracelet, Stainless Steel With Rose Gold PVD Plated Case, White Mother-Of-Pearl Dial, Roman Numeral Indexes"
5925-SC5-00995,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies Mother-Of-Pearl Dial Diamond Quartz Watch, 22.6 x 28.1mm","Toccata Ladies Mother-Of-Pearl Dial Diamond Quartz Watch, 22.6 x 28.1mm",,,USD,1050,https://www.raymond-weil.us/wp-content/uploads/2023/04/RW_toccata_5925-sc5-00995_rvb_700x860px_72dpi.png,Switzerland,Rectangular,Stainless steel with rose gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.4 mm,,,Sapphire,"50 m, 165 ft, 5 atm",,"White mother-of-pearl, with Roman numerals and set with 8 diamonds","White mother-of-pearl, with Roman numerals and set with 8 diamonds",Satin,Satin,Stainless steel traditional buckle,Quartz,Quartz,,,,,"Equipped with a quartz movement, this toccata ladies’ watch features a sleek rectangular stainless steel case with rose gold PVD accents and a satin strap. The white lacquered mother-of-pearl dial is set with applied Roman numeral indexes and 8 sparkling diamonds. To complement this modern classic, a pair of blue hands has been added.
First popular in the Art-Deco era of the 1920s, square-faced watches have become an iconic and timeless design in watchmaking. RAYMOND WEIL reintroduces this case shape under our ever-classic and popular ladies’ toccata collection. Refined design and luxurious materials: the toccata collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes the Swiss horology of RAYMOND WEIL while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-PS-00995,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,Toccata,"Toccata Ladies 68 diamonds Gold Quartz Watch, 22.6 x 28.1 mm","Toccata Ladies 68 diamonds Gold Quartz Watch, 22.6 x 28.1 mm",,,USD,2075,https://www.raymond-weil.us/wp-content/uploads/2021/12/5925-PS-00995-front.jpg,Switzerland,Rectangular,Stainless steel with yellow gold PVD plating set with 60 diamonds,,Snapped,22.6 mm x 28.1 mm, , ,6.4mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White mother-of-pearl, with Roman numerals and set with diamonds","White mother-of-pearl, with Roman numerals and set with diamonds",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection. This new quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.4 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch.
This timepiece of choice is available in several variations. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face. The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without thickness. The watch is completed with RW monogram signature upon the crown. Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection.
About the toccata collection: This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-P-00995,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,toccata,"Toccata Ladies Gold Diamond Quartz Watch, 22.6 x 28.1 mm","Toccata Ladies Gold Diamond Quartz Watch, 22.6 x 28.1 mm",,,USD,1250,https://www.raymond-weil.us/wp-content/uploads/2020/01/RW_toccata_5925-p-00995_packshot.png,Switzerland,rectangle,Stainless steel with yellow gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.25 mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White mother-of-pearl, with Roman numerals and set with diamonds","White mother-of-pearl, with Roman numerals and set with diamonds",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection. 
This new quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.25 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch. 
The design is available in five variations that alternate either in two-tone, gold-tone and stainless steel. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face.
The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without the thickness. The watch is completed with our logo’s signature upon the crown. 
Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection. 
About the toccata collection:
This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-P-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,toccata,"Toccata Ladies Gold Quartz Watch, 22.6 x 28.1 mm","Toccata Ladies Gold Quartz Watch, 22.6 x 28.1 mm",,,USD,1150,https://www.raymond-weil.us/wp-content/uploads/2020/01/RW_toccata_5925-p-00300_packshot.png,Switzerland,rectangle,Stainless steel with yellow gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.25 mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White, with Roman numerals","White, with Roman numerals",Stainless steel with yellow gold PVD plating,Stainless steel with yellow gold PVD plating,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection. 
This new quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.25 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch. 
The design is available in five variations that alternate either in two-tone, gold-tone and stainless steel. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face.
The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without the thickness. The watch is completed with our logo’s signature upon the crown. 
Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection. 
About the toccata collection:
This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-PC-00995,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,toccata,"Toccata Ladies Gold Diamond Quartz Leather Watch, 22.6 x 28.1 mm","Toccata Ladies Gold Diamond Quartz Leather Watch, 22.6 x 28.1 mm",,,USD,1095,https://www.raymond-weil.us/wp-content/uploads/2020/05/RW_toccata_5925-pc-00995-2.png,Switzerland,rectangle,Stainless steel with yellow gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.25 mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White mother-of-pearl, with Roman numerals and set with diamonds","White mother-of-pearl, with Roman numerals and set with diamonds",Black genuine calf leather with alligator motif,Black genuine calf leather with alligator motif,Stainless steel traditional buckle,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection. 
This quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.25 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch. 
The design is available in five variations that alternate either in two-tone, gold-tone and stainless steel. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face.
The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without the thickness. The watch is completed with our logo’s signature upon the crown. 
Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection. 
About the toccata collection:
This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-PC-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,toccata,"Toccata Ladies Gold Quartz Leather Watch, 22.6 x 28.1 mm","Toccata Ladies Gold Quartz Leather Watch, 22.6 x 28.1 mm",,,USD,1095,https://www.raymond-weil.us/wp-content/uploads/2020/05/RW_toccata_5925-pc-00300-2.png,Switzerland,rectangle,Stainless steel with yellow gold PVD plating,,Snapped,22.6 mm x 28.1 mm, , ,6.25 mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White, with Roman numerals","White, with Roman numerals",Black genuine calf leather with alligator motif,Black genuine calf leather with alligator motif,Stainless steel with yellow gold PVD plating traditional buckle,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection.
This quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.25 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch.
The design is available in five variations that alternate either in two-tone, gold-tone and stainless steel. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face.
The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without the thickness. The watch is completed with our logo’s signature upon the crown.
Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection.
About the toccata collection:
This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-STS-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,toccata,"Toccata Ladies 60 Diamond Stainless Steel Quartz, 22.6 x 28.1 mm","Toccata Ladies 60 Diamond Stainless Steel Quartz, 22.6 x 28.1 mm",,,USD,1895,https://www.raymond-weil.us/wp-content/uploads/2020/12/RW_toccata_5925-STS-00300_packshot.png,Switzerland,rectangle,Stainless steel,,Snapped,22.6 mm x 28.1 mm, , ,6.25 mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White, with Roman numerals","White, with Roman numerals",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"RAYMOND WEIL expands its popular TOCCATA collection yet again by adding a brand new rectangular watch inspired by the designs of the art deco era of the 1920s and 1930s. This new design features a full diamond bezel and a vintage white dial with black Roman Numerals. The dazzling display of 60 diamonds set in stainless steel makes a sophisticated impression and the perfect gift for her.  This stunning timepiece is both a model of Swiss craftsmanship and a polished piece of jewelry.
About the toccata collection:
This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-ST-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,toccata,"Toccata Ladies Stainless Steel Quartz Watch, 22.6 x 28.1 mm","Toccata Ladies Stainless Steel Quartz Watch, 22.6 x 28.1 mm",,,USD,975,https://www.raymond-weil.us/wp-content/uploads/2020/01/RW_toccata_5925-st-00300_packshot.png,Switzerland,rectangle,Stainless steel,,Snapped,22.6 mm x 28.1 mm, , ,6.25 mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White, with Roman numerals","White, with Roman numerals",Stainless steel,Stainless steel,Stainless steel folding clasp with double push-security system,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection. 
This new quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.25 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch. 
The design is available in five variations that alternate either in two-tone, gold-tone and stainless steel. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face.
The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without the thickness. The watch is completed with our logo’s signature upon the crown. 
Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection. 
About the toccata collection:
This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
5925-STC-00300,https://www.raymond-weil.us/product/don-giovanni-cosi-grande-14400-g-20001/,Ladies,Raymond Weil,,toccata,"Toccata Ladies Stainless Steel Quartz Leather Watch, 22.6 x 28.1 mm","Toccata Ladies Stainless Steel Quartz Leather Watch, 22.6 x 28.1 mm",,,USD,925,https://www.raymond-weil.us/wp-content/uploads/2020/05/RW_toccata_5925-stc-00300-2.png,Switzerland,rectangle,Stainless steel,,Snapped,22.6 mm x 28.1 mm, , ,6.25 mm,,,Sapphire,5ATM / 50 m / 165 ft,,"White, with Roman numerals","White, with Roman numerals",Black Genuine calf leather with alligator motif,Black Genuine calf leather with alligator motif,Stainless steel traditional buckle,Quartz,Quartz,,,,,"A popular style in the art deco era of the 1920s and 1930s, square-faced watches are making a chic new revival. RAYMOND WEIL introduces this design in the form of our ever-classic and popular ladies’ toccata collection. 
This new quartz model adopts a sophisticated art deco appeal with an elongated rectangular face and slim 6.25 mm case. This is our shallowest case design to date which gives a very sleek profile to this watch. 
The design is available in five variations that alternate either in two-tone, gold-tone and stainless steel. The face comes in combinations of black roman numerals on a crisp white dial or alternating gold & diamond indexes on a mother-of-pearl face.
The sapphire crystal window is framed by a beveled rectangular case. The tiered design gives this watch an illusion of depth without the thickness. The watch is completed with our logo’s signature upon the crown. 
Unlike the classic round ladies’ toccata, this watch manages to nail a refined, retro aesthetic all the while remaining true to the Swiss craftsmanship and inspiration behind the collection. 
About the toccata collection:
This elegant and timeless collection celebrates the artistic and musical spirit behind the Brand’s DNA. Following in the footsteps of the great composers, toccata promotes RAYMOND WEIL’s Swiss horology while respecting the tradition and heritage handed down from generation to generation within the family company.","Black Leather Strap, Silver Dial, Stainless Steel Case, Roman Numeral Indexes, Railway-Track Chapter Ring"
